id,weight_ratio,OT_us_IPC,OT_us_Bullet,OT_IPC_Bullet
1344050_sf_m0_p0,0.2152093140488609,0.09251642148542369,0.07765062965002051,0.06492339000299706
1344050_sf_m2_p0,0.27845987575772646,0.13314090303451687,0.2640092340410945,0.1333309236524577
1344050_sf_m2_p1,0.26828430447114615,0.12080863461223432,0.22135850359896858,0.1128830414304991
55031_sf_m0_p0,0.3868953215850966,0.2370843525155437,0.4018260331225807,0.1964610386686223
55031_sf_m2_p0,0.16824666921601988,0.15463655647216873,0.18595787132346114,0.03912840895327933
55031_sf_m2_p1,0.3519098819946362,0.1532067363121799,0.22095882123486255,0.11982872552552719
55031_sf_m2_p2,0.1714799018849317,0.07532106050644763,0.27105749157767167,0.24717979536267487
127243_sf_m0_p0,0.261226578519736,0.29411867986398804,0.5433647042354033,0.5992427134202979
127243_sf_m2_p0,0.11119041789229084,0.045293069428676315,0.6341010029724137,0.6709373277737161
127243_sf_m2_p1,0.13885313855109316,0.15285747613149042,0.491071035353606,0.47843266334995466
127243_sf_m2_p2,0.16543440137158608,0.05415885014630227,0.6188143704275288,0.6263473361241126
1436278_sf_m0_p0,0.09808241677924234,0.06300223711707865,0.09529554698414855,0.051867474915577194
1436278_sf_m2_p0,0.1814915435801274,0.08814431710937079,0.268628792951771,0.2551032763975394
1436278_sf_m2_p1,0.1562925414403876,0.0970863010734775,0.12512022371119458,0.035220585533994035
1436278_sf_m2_p2,0.10188542414442318,0.06170014707645432,0.10659850390197104,0.08413593579469528
353684_sf_m0_p0,0.11340187582655273,0.08668849441780246,0.11512050290111105,0.04142609837221496
353684_sf_m2_p0,0.09998750144805234,0.056402113838069215,0.28261303661894827,0.3339650362468109
353684_sf_m2_p1,0.1892837695939066,0.1428134799761175,0.36877250182668275,0.30824582577281373
353684_sf_m2_p2,0.11935506647290507,0.06921236332913368,0.32643823172697106,0.2858987952958028
127253_sf_m0_p0,0.20532658785756966,0.2853904550148166,0.43820446868215945,0.1867310370570413
127253_sf_m2_p1,0.20191191855353302,0.11948181677987962,0.34581044902543506,0.26113030594342856
127253_sf_m2_p2,0.33004199281380975,0.15814724242746264,0.3661418485474746,0.23141088961700698
127193_sf_m0_p0,0.32182721042612156,0.17428636284187898,0.26220819763361053,0.10664599606244751
127193_sf_m2_p0,0.44003476975933403,0.17867017014973924,0.24648917481637736,0.09501349254408595
127193_sf_m2_p1,0.40383259062893606,0.21804886459941328,0.5229217203757196,0.4863275417767529
127193_sf_m2_p2,0.23678594968382913,0.12203606413074446,0.3178819188005749,0.39322022482720786
93101_sf_m0_p0,0.11478811538088313,0.06753520620034746,0.11657333328145149,0.06393744350870592
93101_sf_m2_p0,0.260235838998989,0.20378501029420415,0.22970467617004206,0.04965074458417964
93101_sf_m2_p1,0.119916087647304,0.020612455064985,0.07728321767573705,0.08618970361920417
93101_sf_m2_p2,0.1456180194072142,0.14502245922193482,0.3135686114522163,0.20767630351222466
96481_sf_m0_p0,0.15475192159125806,0.05200617124805072,0.44853487280936294,0.4024293473123704
96481_sf_m2_p0,0.09717762092776493,0.07839754682502678,0.36387828552330503,0.4089393326946741
96481_sf_m2_p1,0.1204874538930039,0.08314061756075346,0.10121439406256652,0.02180595752895182
96481_sf_m2_p2,0.3738836092126187,0.09228375475924072,0.7055558609971906,0.6346433449617624
133078_sf_m0_p0,0.3378962892553948,0.11850915648785315,0.20566226598201867,0.24899654228742452
133078_sf_m2_p0,0.23682016799659386,0.16654512956583137,0.48018311505109573,0.5721667232636835
133078_sf_m2_p1,0.17991511386880216,0.1844950257854327,0.25912632682226017,0.07529445153092333
133078_sf_m2_p2,0.40851492905469966,0.12548341249448286,0.3541971650883823,0.25475208753886136
1344040_sf_m0_p0,0.23254526622514557,0.08472604588368111,0.14706764448727414,0.11429480015785214
1344040_sf_m2_p0,0.07121379970899702,0.040974382795309926,0.08302154897924863,0.05637776095127347
1344040_sf_m2_p1,0.2994078493674817,0.0893761780135705,0.10023881984460487,0.035380747806370384
1344040_sf_m2_p2,0.17804902216104967,0.06611405329138478,0.09360806855238855,0.06028991470166714
1344060_sf_m0_p0,0.05187177905251053,0.00504148614790633,0.008211677589136983,0.004838478183830659
1344060_sf_m2_p0,0.33443705656729245,0.030143445179948564,0.08936364675395458,0.06646548709216792
1344060_sf_m2_p1,0.3761611164482637,0.15792029255144693,0.27121172377557545,0.11379208181238303
1344060_sf_m2_p2,0.14300867411522256,0.04404941540724221,0.08039516075125054,0.03634574618604287
1344054_sf_m0_p0,0.24758063369903693,0.14488690001657506,0.2659070373344825,0.1624779831037892
1344054_sf_m2_p0,0.16681825360177008,0.14806619883292876,0.33971939868774087,0.27918302984874144
1344054_sf_m2_p1,0.25624502880095973,0.0739828037585614,0.28476152088606344,0.32611865685325647
